GATE: ABORT conf= 15 E=    0 C=  1147 ZCR=  9 T=1481us noise=    0 wakes= 0/50
SCHED: wcet=1515us avg=1481us duty=0.74% irq_latN_START,0
378783,GUARDIAN_END,1481
378783,FRAME_START,0
378801,GUARDIAN_START,0
378803,GUARDIAN_END,1481
378803,FRAME_START,0
378821,GUARDIAN_START,0
378823,GUARDIAN_END,1481
378823,FRAME_START,0
378841,GUARDIAN_START,0
378843,GUARDIAN_END,1480
378843,FRAME_START,0
378861,GUARDIAN_START,0
378863,GUARDIAN_END,1481
378863,FRAME_START,0
378881,GUARDIAN_START,0
378883,GUARDIAN_END,1481
378883,FRAME_START,0
378901,GUARDIAN_START,0
378903,GUARDIAN_END,1481
378903,FRAME_START,0
378921,GUARDIAN_START,0
378923,GUARDIAN_END,1481
378923,FRAME_START,0
378941,GUARDIAN_START,0
378943,GUARDIAN_END,1481
378943,FRAME_START,0
378961,GUARDIAN_START,0
378963,GUARDIAN_END,1481
378963,FRAME_START,0
378981,GUARDIAN_START,0
378983,GUARDIAN_END,1481
378983,FRAME_START,0
379001,GUARDIAN_START,0
379003,GUARDIAN_END,1481
379003,FRAME_START,0
379021,GUARDIAN_START,0
379023,GUARDIAN_END,1481
379023,FRAME_START,0
379041,GUARDIAN_START,0
379043,GUARDIAN_END,1482
379043,FRAME_START,0
379061,GUARDIAN_START,0
379063,GUARDIAN_END,1481
379063,FRAME_START,0
379081,GUARDIAN_START,0
379083,GUARDIAN_END,1481
379083,FRAME_START,0
379101,GUARDIAN_START,0
379103,GUARDIAN_END,1481
379103,FRAME_START,0
379121,GUARDIAN_START,0
379123,GUARDIAN_END,1481
379123,FRAME_START,0
379141,GUARDIAN_START,0
379143,GUARDIAN_END,1481
379143,FRAME_START,0
379161,GUARDIAN_START,0
379163,GUARDIAN_END,1480
379163,FRAME_START,0
379181,GUARDIAN_START,0
379183,GUARDIAN_END,1481
379183,FRAME_START,0
379201,GUARDIAN_START,0
379203,GUARDIAN_END,1481
379203,FRAME_START,0
379221,GUARDIAN_START,0
379223,GUARDIAN_END,1481
379223,FRAME_START,0
379241,GUARDIAN_START,0
379243,GUARDIAN_END,1481
379243,FRAME_START,0
379261,GUARDIAN_START,0
379263,GUARDIAN_END,1481
379263,FRAME_START,0
379281,GUARDIAN_START,0
379283,GUARDIAN_END,1481
379283,FRAME_START,0
379301,GUARDIAN_START,0
379303,GUARDIAN_END,1481
379303,FRAME_START,0
379321,GUARDIAN_START,0
379323,GUARDIAN_END,1481
379323,FRAME_START,0
379341,GUARDIAN_START,0
379343,GUARDIAN_END,1481
379343,FRAME_START,0
379361,GUARDIAN_START,0
379363,GUARDIAN_END,1481
379363,FRAME_START,0
379381,GUARDIAN_START,0
379383,GUARDIAN_END,1481
379383,FRAME_START,0
379401,GUARDIAN_START,0
379403,GUARDIAN_END,1481
379403,FRAME_START,0
379421,GUARDIAN_START,0
379423,GUARDIAN_END,1482
379423,FRAME_START,0
379441,GUARDIAN_START,0
379443,GUARDIAN_END,1481
RAW: min=   -29 max=    34 samples[0..3]=-29 -20 -22 -28
RES0: min=    -2 max=     1
GATE: ABORT conf= 15 E=    0 C=  2509 ZCR= 11 T=1482us noise=    0 wakes= 2/50
