GATE: ABORT conf= 15 E=    0 C=     0 ZCR=  4 T=1461us noise=    0 wakes= 1/50
SCHED: wcet=1521us avg=1462us duty=0.73% irq_latGUARDIAN_START,0
147707,GUARDIAN_START,0
147708,GUARDIAN_END,1481
147708,FRAME_START,0
147727,GUARDIAN_START,0
147728,GUARDIAN_END,1482
147728,FRAME_START,0
147747,GUARDIAN_START,0
147748,GUARDIAN_END,1482
147748,FRAME_START,0
147767,GUARDIAN_START,0
147768,GUARDIAN_END,1482
147768,FRAME_START,0
147786,GUARDIAN_START,0
147788,GUARDIAN_END,1481
147788,FRAME_START,0
147806,GUARDIAN_START,0
147808,GUARDIAN_END,1481
147808,FRAME_START,0
147827,GUARDIAN_START,0
147828,GUARDIAN_END,1482
147828,FRAME_START,0
147847,GUARDIAN_START,0
147848,GUARDIAN_END,1481
147848,FRAME_START,0
147867,GUARDIAN_START,0
147868,GUARDIAN_END,1481
147868,FRAME_START,0
147886,GUARDIAN_START,0
147888,GUARDIAN_END,1481
147888,FRAME_START,0
147906,GUARDIAN_START,0
147908,GUARDIAN_END,1481
147908,FRAME_START,0
147926,GUARDIAN_START,0
147928,GUARDIAN_END,1481
147928,FRAME_START,0
147947,GUARDIAN_START,0
147948,GUARDIAN_END,1481
147948,FRAME_START,0
147967,GUARDIAN_START,0
147968,GUARDIAN_END,1482
147968,FRAME_START,0
147987,GUARDIAN_START,0
147988,GUARDIAN_END,1482
147988,FRAME_START,0
148006,GUARDIAN_START,0
148008,GUARDIAN_END,1482
148008,FRAME_START,0
148026,GUARDIAN_START,0
148028,GUARDIAN_END,1481
148028,FRAME_START,0
148047,GUARDIAN_START,0
148048,GUARDIAN_END,1481
148048,FRAME_START,0
148067,GUARDIAN_START,0
148068,GUARDIAN_END,1482
RAW: min=   -17 max=    36 samples[0..3]=26 24 28 25
RES0: min=    -1 max=     1
GATE: ABORT conf= 15 E=    0 C=  2910 ZCR= 12 T=1481us noise=    0 wakes= 0/50
SCHED: wcet=1515us avg=1481us duty=0.74% irq_lat_avg=2ms irq_lat_max=20ms
DEADLINE: misses=4272/6000  miss_rate=71.20%
148403,FRAME_START,0
148411,GUARDIAN_START,0
148412,GUARDIAN_END,1481
148412,FRAME_START,0
148413,GUARDIAN_START,0
148415,GUARDIAN_END,1481
148415,FRAME_START,0
148416,GUARDIAN_START,0
148417,GUARDIAN_END,1481
148417,FRAME_START,0
148418,GUARDIAN_START,0
148420,GUARDIAN_END,1481
148420,FRAME_START,0
148421,GUARDIAN_START,0
148422,GUARDIAN_END,1481
148422,FRAME_START,0
148427,GUARDIAN_START,0
148428,GUARDIAN_END,1482
148428,FRAME_START,0
148447,GUARDIAN_START,0
148448,GUARDIAN_END,1482
148448,FRAME_START,0
148466,GUARDIAN_START,0
148468,GUARDIAN_END,1482
148468,FRAME_START,0
148486,GUARDIAN_START,0
148488,GUARDIAN_END,1481
148488,FRAME_START,0
148507,GUARDIAN_START,0
148508,GUARDIAN_END,1482
148508,FRAME_START,0
148527,GUARDIAN_START,0
148528,GUARDIAN_END,1481
148528,FRAME_START,0
148547,GUARDIAN_START,0
148548,GUARDIAN_END,1481
148548,FRAME_START,0
148566,GUARDIAN_START,0
148568,GUARDIAN_END,1482
148568,FRAME_START,0
148586,GUARDIAN_START,0
148588,GUARDIAN_END,1481
148588,FRAME_START,0
148606,GUARDIAN_START,0
148608,GUARDIAN_END,1481
148608,FRAME_START,0
148627,GUARDIAN_START,0
148628,GUARDIAN_END,1481
148628,FRAME_START,0
148647,GUARDIAN_START,0
148648,GUARDIAN_END,1482
148648,FRAME_START,0
148667,GUARDIAN_START,0
148668,GUARDIAN_END,1477
148668,FRAME_START,0
148686,GUARDIAN_START,0
148688,GUARDIAN_END,1481
148688,FRAME_START,0
148706,GUARDIAN_START,0
148708,GUARDIAN_END,1481
148708,FRAME_START,0
148727,GUARDIAN_START,0
148728,GUARDIAN_END,1481
148728,FRAME_START,0
148747,GUARDIAN_START,0
148748,GUARDIAN_END,1481
148748,FRAME_START,0
148767,GUARDIAN_START,0
148768,GUARDIAN_END,1481
148768,FRAME_START,0
148786,GUARDIAN_START,0
148788,GUARDIAN_END,1481
148788,FRAME_START,0
148806,GUARDIAN_START,0
148808,GUARDIAN_END,1481
148808,FRAME_START,0
148826,GUARDIAN_START,0
148828,GUARDIAN_END,1481
148828,FRAME_START,0
148847,GUARDIAN_START,0
148848,GUARDIAN_END,1482
148848,FRAME_START,0
148867,GUARDIAN_START,0
148868,GUARDIAN_END,1482
148868,FRAME_START,0
148887,GUARDIAN_START,0
148888,GUARDIAN_END,1482
148888,FRAME_START,0
148906,GUARDIAN_START,0
148908,GUARDIAN_END,1481
148908,FRAME_START,0
148926,GUARDIAN_START,0
148928,GUARDIAN_END,1481
148928,FRAME_START,0
148947,GUARDIAN_START,0
148948,GUARDIAN_END,1481
148948,FRAME_START,0
148967,GUARDIAN_START,0
148968,GUARDIAN_END,1482
148968,FRAME_START,0
148987,GUARDIAN_START,0
148988,GUARDIAN_END,1481
148988,FRAME_START,0
149006,GUARDIAN_START,0
149008,GUARDIAN_END,1481
149008,FRAME_START,0
149026,GUARDIAN_START,0
149028,GUARDIAN_END,1481
149028,FRAME_START,0
149046,GUARDIAN_START,0
149048,GUARDIAN_END,1482
149048,FRAME_START,0
149067,GUARDIAN_START,0
149068,GUARDIAN_END,1482
149068,FRAME_START,0
149087,GUARDIAN_START,0
149088,GUARDIAN_END,1481
149088,FRAME_START,0
149107,GUARDIAN_START,0
149108,GUARDIAN_END,1481
149108,FRAME_START,0
149126,GUARDIAN_START,0
149128,GUARDIAN_END,1481
149128,FRAME_START,0
149146,GUARDIAN_START,0
149148,GUARDIAN_END,1482
149148,FRAME_START,0
149167,GUARDIAN_START,0
149168,GUARDIAN_END,1482
149168,FRAME_START,0
149187,GUARDIAN_START,0
149188,GUARDIAN_END,1482
149188,FRAME_START,0
149207,GUARDIAN_START,0
149208,GUARDIAN_END,1482
149208,FRAME_START,0
149226,GUARDIAN_START,0
149228,GUARDIAN_END,1482
149228,FRAME_START,0
149246,GUARDIAN_START,0
149248,GUARDIAN_END,1481
149248,FRAME_START,0
149266,GUARDIAN_START,0
149268,GUARDIAN_END,1481
149268,FRAME_START,0
149287,GUARDIAN_START,0
149288,GUARDIAN_END,1482
149288,FRAME_START,0
149307,GUARDIAN_START,0
149308,GUARDIAN_END,1481
RAW: min=   -19 max=    26 samples[0..3]=12 10 11 16
RES0: min=    -1 max=     2
GATE: ABORT conf= 15 E=    0 C=  6263 ZCR= 12 T=1482us noise=    0 wakes= 0/50
SCHED: wcet=1515us avg=1481us duty=0.74% irq_lat_avg=2ms irq_lat_max=20ms
DEADLINE: misses=4308/6050  miss_rate=71.20%
149643,FRAME_START,0
149651,GUARDIAN_START,0
149652,GUARDIAN_END,1481
149652,FRAME_START,0
149653,GUARDIAN_START,0
149655,GUARDIAN_END,1481
149655,FRAME_START,0
149656,GUARDIAN_START,0
149657,GUARDIAN_END,1480
149657,FRAME_START,0
149658,GUARDIAN_START,0
149660,GUARDIAN_END,1481
149660,FRAME_START,0
149661,GUARDIAN_START,0
149662,GUARDIAN_END,1481
149662,FRAME_START,0
149667,GUARDIAN_START,0
149668,GUARDIAN_END,1482
149668,FRAME_START,0
149686,GUARDIAN_START,0
149688,GUARDIAN_END,1482
149688,FRAME_START,0
149706,GUARDIAN_START,0
149708,GUARDIAN_END,1480
149708,FRAME_START,0
149726,GUARDIAN_START,0
149728,GUARDIAN_END,1481
149728,FRAME_START,0
149747,GUARDIAN_START,0
149748,GUARDIAN_END,1481
149748,FRAME_START,0
149767,GUARDIAN_START,0
149768,GUARDIAN_END,1482
149768,FRAME_START,0
149787,GUARDIAN_START,0
149788,GUARDIAN_END,1482
149788,FRAME_START,0
149806,GUARDIAN_START,0
149808,GUARDIAN_END,1481
149808,FRAME_START,0
149826,GUARDIAN_START,0
149828,GUARDIAN_END,1482
149828,FRAME_START,0
149847,GUARDIAN_START,0
149848,GUARDIAN_END,1481
149848,FRAME_START,0
149867,GUARDIAN_START,0
149868,GUARDIAN_END,1482
149868,FRAME_START,0
149887,GUARDIAN_START,0
149888,GUARDIAN_END,1482
149888,FRAME_START,0
149906,GUARDIAN_START,0
149908,GUARDIAN_END,1482
149908,FRAME_START,0
149926,GUARDIAN_START,0
149928,GUARDIAN_END,1482
149928,FRAME_START,0
149946,GUARDIAN_START,0
149948,GUARDIAN_END,1482
149948,FRAME_START,0
149967,GUARDIAN_START,0
149968,GUARDIAN_END,1481
149968,FRAME_START,0
149987,GUARDIAN_START,0
149988,GUARDIAN_END,1482
149988,FRAME_START,0
150007,GUARDIAN_START,0
150008,GUARDIAN_END,1482
150008,FRAME_START,0
150026,GUARDIAN_START,0
150028,GUARDIAN_END,1482
150028,FRAME_START,0
150046,GUARDIAN_START,0
150048,GUARDIAN_END,1482
150048,FRAME_START,0
150067,GUARDIAN_START,0
150068,GUARDIAN_END,1482
150068,FRAME_START,0
150087,GUARDIAN_START,0
150088,GUARDIAN_END,1482
150088,FRAME_START,0
150107,GUARDIAN_START,0
150108,GUARDIAN_END,1482
150108,FRAME_START,0
150126,GUARDIAN_START,0
150128,GUARDIAN_END,1482
150128,FRAME_START,0
150146,GUARDIAN_START,0
150148,GUARDIAN_END,1482
150148,FRAME_START,0
150166,GUARDIAN_START,0
150168,GUARDIAN_END,1482
150168,FRAME_START,0
150187,GUARDIAN_START,0
150188,GUARDIAN_END,1482
150188,FRAME_START,0
150207,GUARDIAN_START,0
150208,GUARDIAN_END,1481
150208,FRAME_START,0
150227,GUARDIAN_START,0
150228,GUARDIAN_END,1481
150228,FRAME_START,0
150246,GUARDIAN_START,0
150248,GUARDIAN_END,1481
150248,FRAME_START,0
150266,GUARDIAN_START,0
150268,GUARDIAN_END,1481
150268,FRAME_START,0
150287,GUARDIAN_START,0
150288,GUARDIAN_END,1482
150288,FRAME_START,0
150307,GUARDIAN_START,0
150308,GUARDIAN_END,1481
150308,FRAME_START,0
150327,GUARDIAN_START,0
150328,GUARDIAN_END,1482
150328,FRAME_START,0
150346,GUARDIAN_START,0
150348,GUARDIAN_END,1482
150348,FRAME_START,0
150366,GUARDIAN_START,0
150368,GUARDIAN_END,1481
150368,FRAME_START,0
150386,GUARDIAN_START,0
150388,GUARDIAN_END,1481
150388,FRAME_START,0
150407,GUARDIAN_START,0
150408,GUARDIAN_END,1481
150408,FRAME_START,0
150427,GUARDIAN_START,0
150428,GUARDIAN_END,1482
150428,FRAME_START,0
150447,GUARDIAN_START,0
150448,GUARDIAN_END,1482
150448,FRAME_START,0
150466,GUARDIAN_START,0
150468,GUARDIAN_END,1482
150468,FRAME_START,0
150486,GUARDIAN_START,0
150488,GUARDIAN_END,1482
150488,FRAME_START,0
150507,GUARDIAN_START,0
150508,GUARDIAN_END,1481
150508,FRAME_START,0
150527,GUARDIAN_START,0
150528,GUARDIAN_END,1481
150528,FRAME_START,0
150547,GUARDIAN_START,0
150548,GUARDIAN_END,1482
RAW: min=   -28 max=    18 samples[0..3]=8 10 8 15
RES0: min=    -4 max=     4
GATE: ABORT conf= 15 E=    0 C=  1569 ZCR= 12 T=1482us noise=    0 wakes= 0/50
SCHED: wcet=1515us avg=1481us duty=0.74% irq_lat_avg=2ms irq_lat_max=20ms
DEADLINE: misses=4344/6100  miss_rate=71.21%
150883,FRAME_START,0
150891,GUARDIAN_START,0
150892,GUARDIAN_END,1481
150892,FRAME_START,0
150893,GUARDIAN_START,0
150895,GUARDIAN_END,1481
150895,FRAME_START,0
150896,GUARDIAN_START,0
150897,GUARDIAN_END,1481
150897,FRAME_START,0
150898,GUARDIAN_START,0
150899,GUARDIAN_END,1481
150900,FRAME_START,0
150900,GUARDIAN_START,0
150902,GUARDIAN_END,1481
150902,FRAME_START,0
150907,GUARDIAN_START,0
150908,GUARDIAN_END,1481
150908,FRAME_START,0
150927,GUARDIAN_START,0
150928,GUARDIAN_END,1481
150928,FRAME_START,0
150946,GUARDIAN_START,0
150948,GUARDIAN_END,1482
150948,FRAME_START,0
150966,GUARDIAN_START,0
150968,GUARDIAN_END,1481
150968,FRAME_START,0
150986,GUARDIAN_START,0
150988,GUARDIAN_END,1482
150988,FRAME_START,0
151007,GUARDIAN_START,0
151008,GUARDIAN_END,1481
151008,FRAME_START,0
151027,GUARDIAN_START,0
151028,GUARDIAN_END,1481
151028,FRAME_START,0
151047,GUARDIAN_START,0
151048,GUARDIAN_END,1482
151048,FRAME_START,0
151066,GUARDIAN_START,0
151068,GUARDIAN_END,1482
151068,FRAME_START,0
151086,GUARDIAN_START,0
151088,GUARDIAN_END,1481
151088,FRAME_START,0
151106,GUARDIAN_START,0
151108,GUARDIAN_END,1482
151108,FRAME_START,0
151127,GUARDIAN_START,0
151128,GUARDIAN_END,1482
151128,FRAME_START,0
151147,GUARDIAN_START,0
151148,GUARDIAN_END,1482
151148,FRAME_START,0
151166,GUARDIAN_START,0
151168,GUARDIAN_END,1481
151168,FRAME_START,0
151186,GUARDIAN_START,0
151188,GUARDIAN_END,1481
151188,FRAME_START,0
151206,GUARDIAN_START,0
151208,GUARDIAN_END,1482
151208,FRAME_START,0
151227,GUARDIAN_START,0
151228,GUARDIAN_END,1482
151228,FRAME_START,0
151247,GUARDIAN_START,0
151248,GUARDIAN_END,1481
151248,FRAME_START,0
151267,GUARDIAN_START,0
151268,GUARDIAN_END,1481
151268,FRAME_START,0
151286,GUARDIAN_START,0
151288,GUARDIAN_END,1482
151288,FRAME_START,0
151306,GUARDIAN_START,0
151308,GUARDIAN_END,1482
151308,FRAME_START,0
151326,GUARDIAN_START,0
151328,GUARDIAN_END,1476
151328,FRAME_START,0
151347,GUARDIAN_START,0
151348,GUARDIAN_END,1482
151348,FRAME_START,0
151367,GUARDIAN_START,0
151368,GUARDIAN_END,1482
151368,FRAME_START,0
151386,GUARDIAN_START,0
151388,GUARDIAN_END,1481
151388,FRAME_START,0
151406,GUARDIAN_START,0
151408,GUARDIAN_END,1482
151408,FRAME_START,0
151426,GUARDIAN_START,0
151428,GUARDIAN_END,1481
151428,FRAME_START,0
151447,GUARDIAN_START,0
151448,GUARDIAN_END,1482
151448,FRAME_START,0
151467,GUARDIAN_START,0
151468,GUARDIAN_END,1482
151468,FRAME_START,0
151487,GUARDIAN_START,0
151488,GUARDIAN_END,1482
151488,FRAME_START,0
151506,GUARDIAN_START,0
151508,GUARDIAN_END,1481
151508,FRAME_START,0
151526,GUARDIAN_START,0
151528,GUARDIAN_END,1481
151528,FRAME_START,0
151546,GUARDIAN_START,0
151548,GUARDIAN_END,1481
151548,FRAME_START,0
151567,GUARDIAN_START,0
151568,GUARDIAN_END,1481
151568,FRAME_START,0
151587,GUARDIAN_START,0
151588,GUARDIAN_END,1482
151588,FRAME_START,0
151606,GUARDIAN_START,0
151608,GUARDIAN_END,1482
151608,FRAME_START,0
151626,GUARDIAN_START,0
151628,GUARDIAN_END,1482
151628,FRAME_START,0
151646,GUARDIAN_START,0
151648,GUARDIAN_END,1482
151648,FRAME_START,0
151667,GUARDIAN_START,0
151668,GUARDIAN_END,1482
151668,FRAME_START,0
151687,GUARDIAN_START,0
151688,GUARDIAN_END,1481
151688,FRAME_START,0
151707,GUARDIAN_START,0
151708,GUARDIAN_END,1481
151708,FRAME_START,0
151726,GUARDIAN_START,0
151728,GUARDIAN_END,1482
151728,FRAME_START,0
151746,GUARDIAN_START,0
151748,GUARDIAN_END,1481
151748,FRAME_START,0
151766,GUARDIAN_START,0
151768,GUARDIAN_END,1481
151768,FRAME_START,0
151787,GUARDIAN_START,0
151788,GUARDIAN_END,1482
RAW: min=   -42 max=    31 samples[0..3]=27 26 31 27
RES0: min=    -1 max=     3
GATE: ABORT conf= 15 E=    0 C=  5226 ZCR= 10 T=1481us noise=    0 wakes= 0/50
SCHED: wcet=1515us avg=1481us duty=0.74% irq_lat_avg=2ms irq_lat_max=20ms
DEADLINE: misses=4380/6150  miss_rate=71.21%
152123,FRAME_START,0
152131,GUARDIAN_START,0
152132,GUARDIAN_END,1482
152132,FRAME_START,0
152133,GUARDIAN_START,0
152135,GUARDIAN_END,1481
152135,FRAME_START,0
152136,GUARDIAN_START,0
152137,GUARDIAN_END,1481
152137,FRAME_START,0
152138,GUARDIAN_START,0
152140,GUARDIAN_END,1481
152140,FRAME_START,0
152140,GUARDIAN_START,0
152142,GUARDIAN_END,1481
152142,FRAME_START,0
152147,GUARDIAN_START,0
152148,GUARDIAN_END,1482
152148,FRAME_START,0
152167,GUARDIAN_START,0
152168,GUARDIAN_END,1482
152168,FRAME_START,0
152186,GUARDIAN_START,0
152188,GUARDIAN_END,1481
152188,FRAME_START,0
152206,GUARDIAN_START,0
152208,GUARDIAN_END,1481
152208,FRAME_START,0
152227,GUARDIAN_START,0
152228,GUARDIAN_END,1482
152228,FRAME_START,0
152247,GUARDIAN_START,0
152248,GUARDIAN_END,1481
152248,FRAME_START,0
152267,GUARDIAN_START,0
152268,GUARDIAN_END,1481
152268,FRAME_START,0
152286,GUARDIAN_START,0
152288,GUARDIAN_END,1481
152288,FRAME_START,0
152306,GUARDIAN_START,0
152308,GUARDIAN_END,1481
